https://schema.org/name,https://code4fukui.github.io/rdf/#kana,https://schema.org/category,https://schema.org/jobTitle
石倉 洋子,いしくら ようこ,デジタル監・デジタル審議官,デジタル監
赤石 浩一,あかいし こういち,デジタル監・デジタル審議官,デジタル審議官
江崎 浩,えさき ひろし,CxO,Chief Architect
浅沼 尚,あさぬま たかし,CxO,Chief Design Officer
坂 明,さか あきら,CxO,Chief Information Security Officer
水島 壮太,みずしま そうた,CxO,Chief Product Officer
藤本 真樹,ふじもと まさき,CxO,Chief Technology Officer
楠 正憲,くすのき まさのり,デジタル社会共通機能グループ,デジタル社会共通機能グループ グループ長 統括官
犬童 周作,いんどう しゅうさく,デジタル社会共通機能グループ,デジタル社会共通機能グループ 次長 統括官付審議官
村上 敬亮,むらかみ けいすけ,国民向けサービスグループ,国民向けサービスグループ グループ長 統括官
内山 博之,うちやま ひろゆき,国民向けサービスグループ,国民向けサービスグループ 次長 併任 統括官付
篠原 俊博,しのはら としひろ,省庁業務サービスグループ,省庁業務サービスグループ グループ長 統括官
菅原 希,すがわら のぞむ,省庁業務サービスグループ,省庁業務サービスグループ 次長 統括官付審議官
早瀬 千善,はやせ かずよし,省庁業務サービスグループ,省庁業務サービスグループ 次長 統括官付審議官
冨安 泰一郎,とみやす たいいちろう,戦略・組織グループ,戦略・組織グループ グループ長 統括官
山本 和徳,やまもと かずのり,戦略・組織グループ,戦略・組織グループ 次長 統括官付審議官
二宮 清治,,,併任 統括官付
中山 光輝,,,併任 統括官付
八神 敦雄,,,併任 統括官付
日置 重人,,,併任 統括官付
江口 純一,,,併任 統括官付
宮崎 敦文,,,併任 統括官付
辻 貴博,,,併任 統括官付
吉田 宏平,,,統括官付参事官
奥田 直彦,,,統括官付参事官 併任 統括官付公文書監理官命 公文書監理官室長
阿部 文彦,,,併任 デジタル庁統括官付参事官
上仮 屋尚,,,統括官付参事官
徳満 純一,,,統括官付参事官
大澤 健,,,併任 統括官付参事官
松田 洋平,,,統括官付参事官
瀧島 勇樹,,,併任 統括官付参事官
門馬 圭一,,,併任 統括官付参事官
田邊 光男,,,統括官付参事官
山野 哲也,,,併任 統括官付参事官
浦上 哲朗,,,統括官付参事官
柳沢 信高,,,統括官付参事官
名越 一郎,,,併任 統括官付参事官
木村 公一,,,統括官付参事官
山本 寛繁,,,併任 統括官付参事官
板屋 英治,,,統括官付参事官
高木 有生,,,統括官付参事官
佐藤 敬,,,統括官付参事官
村上 貴将,,,統括官付参事官
淺岡 孝充,,,統括官付参事官
渋谷 闘志彦,,,併任 統括官付参事官
菊川 人吾,,,併任 統括官付参事官
浅野 大介,,,併任 統括官付参事官
野崎 彰,,,併任 統括官付参事官
帆足 雅史,,,統括官付参事官付企画官
吉田 楼蘭,,,採用 統括官付参事官付企画官
石井 啓介,,,統括官付参事官付企画官
佐伯 美穂,,,併任 統括官付参事官付企画官
柳生 正毅,,,統括官付参事官付企画官 命 公文書監理官室室員
西室 洋介,,,併任 統括官付参事官付企画官 命 公文書監理官室室員
占部 祥,,,併任 統括官付参事官付企画官
津脇 慈子,,,統括官付参事官付企画官
吉田 泰己,,,併任 統括官付参事官付企画官
齋藤 憲士,,,採用 統括官付参事官付企画官
須﨑 和馬,,,併任 統括官付参事官付企画官
圓増 正宏,,,統括官付参事官付企画官
林 隆幸,,,併任 統括官付参事官付企画官
山本 武史,,,併任 統括官付参事官付企画官
濵口 信彦,,,併任 統括官付参事官付企画官
城戸 格,,,統括官付参事官付企画官
中川 尚志,,,統括官付参事官付企画官
小川 力也,,,併任 統括官付参事官付企画官
鈴木 崇弘,,,統括官付参事官付企画官
岡部 弘,,,併任 統括官付参事官付企画官
能城 均,,,統括官付参事官付企画官
三好 哲也,,,統括官付参事官付企画官
安田 英司,,,統括官付参事官付企画官
